"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"1","City of Agoura Hills",35,35,165,1,5,5,920,4406,3975,20883
"2","City of Alhambra",226,226,243,8,9,6,4896,5646,5372,86724
"3","City of Arcadia",94,94,147,6,10,7,1864,3227,3188,57754
"4","City of Artesia",42,42,223,0,0,0,653,3888,3544,16795
"5","City of Azusa",198,198,407,5,10,13,1655,3307,3381,50040
"6","City of Baldwin Park",376,376,484,6,8,8,2981,3883,3827,76769
"7","City of Bell",359,359,1055,23,63,89,1508,4151,4270,36332
"8","City of Bell Gardens",339,339,871,10,23,42,1416,3288,3405,43071
"9","City of Bellflower",435,435,560,20,26,30,4184,5382,5296,77735
"10","City of Beverly Hills",140,140,368,5,14,8,2855,8271,7630,34520
"11","City of Bradbury",4,4,416,0,0,0,13,1216,1133,1069
"12","City of Burbank",405,405,325,39,36,28,6058,5652,5255,107180
"13","City of Calabasas",85,85,313,10,41,34,1234,5073,4798,24323
"14","City of Carson",443,443,451,25,27,20,4480,4774,4557,93846
"15","City of Cerritos",130,130,273,1,2,1,2035,4065,4025,50067
"16","City of Claremont",54,54,155,0,0,0,1339,3670,3744,36484
"17","City of Commerce",81,81,623,0,0,0,506,3872,3878,13069
"18","City of Compton",676,676,694,15,15,21,5017,5022,5197,99904
"19","City of Covina",189,189,380,6,12,12,2166,4418,4318,49032
"20","City of Cudahy",267,267,1164,5,21,36,964,3959,4092,24347
"21","City of Culver City",161,161,339,20,50,33,3354,8413,7885,39865
"22","City of Diamond Bar",72,72,115,1,2,1,1827,3177,2982,57515
"23","City of Downey",788,788,679,25,22,21,5682,4973,4857,114263
"24","City of Duarte",130,130,496,15,68,42,1071,4865,4592,22016
"25","City of El Monte",599,599,508,24,20,21,4790,4085,4027,117269
"26","City of El Segundo",36,36,205,0,0,0,919,5475,5297,16786
"27","City of Gardena",291,291,431,25,41,27,3414,5568,5325,61310
"28","City of Glendale",995,995,401,87,42,28,9715,4705,4299,206493
"29","City of Glendora",158,158,266,7,13,11,1888,3578,3468,52764
"30","City of Hawaiian Gardens",78,78,509,1,7,8,475,3237,3190,14676
"31","City of Hawthorne",424,424,478,16,18,22,4963,5590,5518,88787
"32","City of Hermosa Beach",32,32,153,2,10,13,1033,5252,4948,19670
"33","City of Hidden Hills",3,3,80,0,0,0,120,6349,6116,1890
"34","City of Huntington Park",555,555,947,11,18,22,2413,4057,4062,59484
"35","City of Industry",11,11,2736,2,458,556,98,22426,20858,437
"36","City of Inglewood",652,652,568,55,48,52,6857,6037,5894,113582
"37","City of Irwindale",4,4,244,0,0,0,56,3838,3751,1459
"38","City of La Canada Flintridge",51,51,325,5,24,13,937,4528,5440,20693
"39","City of La Habra Heights",9,9,154,0,0,0,37,678,849,5455
"40","City of La Mirada",198,198,349,15,30,21,1556,3137,3067,49599
"41","City of La Puente",145,145,342,1,2,3,1424,3499,3454,40697
"42","City of La Verne",34,34,94,1,3,1,1059,3182,3052,33282
"43","City of Lakewood",208,208,255,6,7,6,3609,4491,4389,80362
"44","City of Lancaster",641,641,404,12,7,8,6184,3827,3878,161570
"45","City of Lawndale",133,133,389,5,15,22,1643,4888,4772,33614
"46","City of Lomita",52,52,232,6,29,19,860,4149,3952,20729
"47","City of Lynwood",672,672,1082,38,53,86,3419,4746,4977,72047
"48","City of Malibu",38,38,247,1,8,4,1581,12198,10275,12961
"49","City of Manhattan Beach",80,80,199,3,8,8,1717,4770,4542,35999
"50","City of Maywood",317,317,1242,11,39,61,1189,4239,4421,28049
"51","City of Monrovia",166,166,414,20,52,51,1675,4317,4218,38800
"52","City of Montebello",428,428,632,16,25,20,2727,4236,4124,64375
"53","City of Monterey Park",173,173,272,7,11,6,2490,3999,3972,62262
"54","City of Norwalk",516,516,470,22,20,21,4354,4046,3978,107622
"55","City of Palmdale",783,783,497,17,11,12,7505,4721,4832,158968
"56","City of Palos Verdes Estates",42,42,245,1,7,4,445,3291,3421,13522
"57","City of Paramount",380,380,680,9,16,19,2527,4511,4562,56023
"58","City of Pico Rivera",556,556,825,28,44,39,2744,4269,4104,64284
"59","City of Pomona",567,567,363,13,8,11,5669,3636,3664,155931
"60","City of Rancho Palos Verdes",96,96,202,11,26,12,1905,4456,4620,42747
"61","City of Redondo Beach",145,145,205,7,10,11,3526,5133,5002,68697
"62","City of Rolling Hills",2,2,61,0,0,0,65,3351,3282,1940
"63","City of Rolling Hills Estates",14,14,278,0,0,0,335,4129,4442,8113
"64","City of Rosemead",129,129,227,5,9,6,1822,3292,3193,55350
"65","City of San Dimas",69,69,210,1,3,2,1399,4053,3979,34516
"66","City of San Fernando",201,201,848,8,32,39,1770,7192,7151,24612
"67","City of San Gabriel",145,145,289,15,37,23,1618,3951,3728,40954
"68","City of San Marino",23,23,159,1,8,4,507,3819,3997,13277
"69","City of Santa Clarita",801,801,376,16,7,8,11516,5224,5180,220424
"70","City of Santa Fe Springs",74,74,404,0,0,0,655,3567,3628,18364
"71","City of Santa Monica",288,288,256,19,21,15,7808,8446,7457,92446
"72","City of Sierra Madre",12,12,96,0,0,0,451,4104,4172,10989
"73","City of Signal Hill",38,38,336,0,0,0,480,4069,4046,11797
"74","City of South El Monte",95,95,463,2,10,9,849,4065,4033,20885
"75","City of South Gate",709,709,716,17,17,21,3802,3873,3858,98155
